2026-05-26T19:40:37-04:00
Running ./build/run_benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.19, 2.73, 2.76
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BENCHMARK_dot_parallel/32768/2",34886,24357.9,20052.7,ns,,,,,,3.26819e+09
"BENCHMARK_dot_parallel/32768/4",49738,20785.3,14045.8,ns,,,,,,4.66588e+09
"BENCHMARK_dot_parallel/32768/8",22868,60681.7,30567.6,ns,,,,,,2.14397e+09
"BENCHMARK_dot_parallel/32768/16",14679,89536.3,47423.9,ns,,,,,,1.38192e+09
"BENCHMARK_dot_parallel/65536/2",18915,41056.8,36921.2,ns,,,,,,3.55005e+09
"BENCHMARK_dot_parallel/65536/4",30485,29853.1,22596.2,ns,,,,,,5.80061e+09
"BENCHMARK_dot_parallel/65536/8",19264,67330.8,34063.6,ns,,,,,,3.84786e+09
"BENCHMARK_dot_parallel/65536/16",14173,93177.3,48885.8,ns,,,,,,2.68119e+09
"BENCHMARK_dot_parallel/131072/2",10487,70916.4,66504.2,ns,,,,,,3.94176e+09
"BENCHMARK_dot_parallel/131072/4",17334,47036.8,40492.8,ns,,,,,,6.47384e+09
"BENCHMARK_dot_parallel/131072/8",15788,77280.5,43633.8,ns,,,,,,6.00781e+09
"BENCHMARK_dot_parallel/131072/16",13237,103019,52835.6,ns,,,,,,4.9615e+09
"BENCHMARK_dot_parallel/262144/2",5568,129190,125240,ns,,,,,,4.18627e+09
"BENCHMARK_dot_parallel/262144/4",9860,77843,70896.7,ns,,,,,,7.3951e+09
"BENCHMARK_dot_parallel/262144/8",11746,94612.6,59502.1,ns,,,,,,8.81125e+09
"BENCHMARK_dot_parallel/262144/16",11001,120940,62493.9,ns,,,,,,8.38943e+09
"BENCHMARK_dot_parallel/524288/2",2882,250823,245750,ns,,,,,,4.26684e+09
"BENCHMARK_dot_parallel/524288/4",5305,138741,131784,ns,,,,,,7.9568e+09
"BENCHMARK_dot_parallel/524288/8",7807,143487,91690.7,ns,,,,,,1.1436e+10
"BENCHMARK_dot_parallel/524288/16",8281,162938,84537.4,ns,,,,,,1.24037e+10
"BENCHMARK_dot_parallel/1048576/2",1446,496125,485589,ns,,,,,,4.31878e+09
"BENCHMARK_dot_parallel/1048576/4",2743,268459,255797,ns,,,,,,8.1985e+09
"BENCHMARK_dot_parallel/1048576/8",4632,190429,150691,ns,,,,,,1.39169e+10
"BENCHMARK_dot_parallel/1048576/16",5575,241458,124521,ns,,,,,,1.68418e+10
"BENCHMARK_nrm2_parallel/16384/2",60687,16118,11417.5,ns,,,,,,2.86999e+09
"BENCHMARK_nrm2_parallel/16384/4",80714,16078.5,8873.65,ns,,,,,,3.69273e+09
"BENCHMARK_nrm2_parallel/16384/8",25363,57952.9,27433.3,ns,,,,,,1.19446e+09
"BENCHMARK_nrm2_parallel/16384/16",15707,88053.1,44339.2,ns,,,,,,7.3903e+08
"BENCHMARK_nrm2_parallel/32768/2",34371,25000.1,20285.4,ns,,,,,,3.2307e+09
"BENCHMARK_nrm2_parallel/32768/4",51584,20485.8,13693,ns,,,,,,4.78608e+09
"BENCHMARK_nrm2_parallel/32768/8",22785,59669.4,30004.6,ns,,,,,,2.1842e+09
"BENCHMARK_nrm2_parallel/32768/16",14665,89457.4,47379.2,ns,,,,,,1.38322e+09
"BENCHMARK_nrm2_parallel/65536/2",18942,41020.5,36977.3,ns,,,,,,3.54466e+09
"BENCHMARK_nrm2_parallel/65536/4",30812,29698.2,22656.8,ns,,,,,,5.7851e+09
"BENCHMARK_nrm2_parallel/65536/8",20544,67055.7,33518.3,ns,,,,,,3.91047e+09
"BENCHMARK_nrm2_parallel/65536/16",14186,93564.4,48821.7,ns,,,,,,2.68471e+09
"BENCHMARK_nrm2_parallel/131072/2",10459,70307.2,66266.7,ns,,,,,,3.9559e+09
"BENCHMARK_nrm2_parallel/131072/4",17335,47532.5,40649.4,ns,,,,,,6.44891e+09
"BENCHMARK_nrm2_parallel/131072/8",15957,77790.9,43757,ns,,,,,,5.9909e+09
"BENCHMARK_nrm2_parallel/131072/16",13145,102802,52952.2,ns,,,,,,4.95058e+09
"BENCHMARK_nrm2_parallel/262144/2",5569,129208,125206,ns,,,,,,4.1874e+09
"BENCHMARK_nrm2_parallel/262144/4",9831,77535.1,70947,ns,,,,,,7.38985e+09
"BENCHMARK_nrm2_parallel/262144/8",10553,94753.6,59607.7,ns,,,,,,8.79564e+09
"BENCHMARK_nrm2_parallel/262144/16",10908,121163,63692.5,ns,,,,,,8.23155e+09
"BENCHMARK_nrm2_parallel/524288/2",2879,247889,243636,ns,,,,,,4.30387e+09
"BENCHMARK_nrm2_parallel/524288/4",5309,138603,131682,ns,,,,,,7.96296e+09
"BENCHMARK_nrm2_parallel/524288/8",7823,127519,89871,ns,,,,,,1.16676e+10
"BENCHMARK_nrm2_parallel/524288/16",8300,159251,84003.4,ns,,,,,,1.24825e+10
"BENCHMARK_nrm2_parallel/1048576/2",1447,486881,480695,ns,,,,,,4.36275e+09
"BENCHMARK_nrm2_parallel/1048576/4",2759,261562,253540,ns,,,,,,8.27147e+09
"BENCHMARK_nrm2_parallel/1048576/8",4675,191224,150750,ns,,,,,,1.39115e+10
"BENCHMARK_nrm2_parallel/1048576/16",5566,240831,125565,ns,,,,,,1.67017e+10
"BENCHMARK_gemv_parallel/64/2",159722,7504.15,4390.52,ns,,,,,,1.86584e+09
"BENCHMARK_gemv_parallel/64/4",136866,10334.3,4960.88,ns,,,,,,1.65132e+09
"BENCHMARK_gemv_parallel/64/8",54883,28334.6,12656.8,ns,,,,,,6.47243e+08
"BENCHMARK_gemv_parallel/64/16",35383,42795.9,19589.2,ns,,,,,,4.1819e+08
"BENCHMARK_gemv_parallel/128/2",91927,12204.6,7508.15,ns,,,,,,4.36432e+09
"BENCHMARK_gemv_parallel/128/4",91783,13379.1,7614.96,ns,,,,,,4.30311e+09
"BENCHMARK_gemv_parallel/128/8",49722,30270.8,14056.1,ns,,,,,,2.33123e+09
"BENCHMARK_gemv_parallel/128/16",34553,44611,21692,ns,,,,,,1.5106e+09
"BENCHMARK_gemv_parallel/256/2",30281,31692.7,23379.2,ns,,,,,,5.60634e+09
"BENCHMARK_gemv_parallel/256/4",43105,23609.1,16333.1,ns,,,,,,8.02491e+09
"BENCHMARK_gemv_parallel/256/8",35124,41268.4,21877.4,ns,,,,,,5.99121e+09
"BENCHMARK_gemv_parallel/256/16",28091,52777.3,25762.1,ns,,,,,,5.08779e+09
"BENCHMARK_gemv_parallel/512/2",6978,109021,100698,ns,,,,,,5.20655e+09
"BENCHMARK_gemv_parallel/512/4",12575,65726.2,57441.4,ns,,,,,,9.12735e+09
"BENCHMARK_gemv_parallel/512/8",16553,64953.2,41927.5,ns,,,,,,1.25046e+10
"BENCHMARK_gemv_parallel/512/16",19701,71213,36215.9,ns,,,,,,1.44767e+10
"BENCHMARK_gemv_parallel/1024/2",1614,446430,434035,ns,,,,,,4.83176e+09
"BENCHMARK_gemv_parallel/1024/4",3085,234889,227294,ns,,,,,,9.22659e+09
"BENCHMARK_gemv_parallel/1024/8",5478,174887,126854,ns,,,,,,1.65321e+10
"BENCHMARK_gemv_parallel/1024/16",7544,183371,93246.6,ns,,,,,,2.24904e+10
"BENCHMARK_gemm_parallel/64/2",8603,84705.5,80700.1,ns,,,,,,6.49674e+09
"BENCHMARK_gemm_parallel/64/4",14631,54472,47493.7,ns,,,,,,1.10391e+10
"BENCHMARK_gemm_parallel/64/8",18997,56525.8,37081.4,ns,,,,,,1.41388e+10
"BENCHMARK_gemm_parallel/64/16",20365,65974.5,34478.1,ns,,,,,,1.52064e+10
"BENCHMARK_gemm_parallel/128/2",895,786738,783937,ns,,,,,,5.3503e+09
